elevation,pps
222,POINT (40.255138888888894 48.090694444444445)
220,POINT (40.255138888888894 48.090972222222227)
218,POINT (40.255138888888894 48.09125)
218,POINT (40.255138888888894 48.091527777777777)
216,POINT (40.255138888888894 48.09180555555556)
218,POINT (40.255138888888894 48.092083333333335)
220,POINT (40.255138888888894 48.09236111111111)
221,POINT (40.255138888888894 48.092638888888892)
222,POINT (40.255138888888894 48.092916666666667)
222,POINT (40.255138888888894 48.09319444444445)
219,POINT (40.255138888888894 48.093472222222225)
220,POINT (40.255138888888894 48.09375)
219,POINT (40.255138888888894 48.094027777777782)
219,POINT (40.255138888888894 48.094305555555557)
217,POINT (40.255138888888894 48.094583333333333)
211,POINT (40.255416666666669 48.082083333333337)
212,POINT (40.255416666666669 48.082361111111112)
212,POINT (40.255416666666669 48.082638888888894)
214,POINT (40.255416666666669 48.082916666666669)
215,POINT (40.255416666666669 48.083194444444445)
219,POINT (40.255416666666669 48.083472222222227)
218,POINT (40.255416666666669 48.08375)
220,POINT (40.255416666666669 48.084027777777777)
222,POINT (40.255416666666669 48.084305555555559)
222,POINT (40.255416666666669 48.084583333333335)
226,POINT (40.255416666666669 48.084861111111117)
229,POINT (40.255416666666669 48.085138888888892)
231,POINT (40.255416666666669 48.085416666666667)
228,POINT (40.255416666666669 48.085694444444449)
227,POINT (40.255416666666669 48.085972222222225)
229,POINT (40.255416666666669 48.08625)
228,POINT (40.255416666666669 48.086527777777782)
227,POINT (40.255416666666669 48.086805555555557)
229,POINT (40.255416666666669 48.087083333333332)
228,POINT (40.255416666666669 48.087361111111115)
228,POINT (40.255416666666669 48.08763888888889)
229,POINT (40.255416666666669 48.087916666666672)
232,POINT (40.255416666666669 48.088194444444447)
230,POINT (40.255416666666669 48.088472222222222)
229,POINT (40.255416666666669 48.088750000000005)
227,POINT (40.255416666666669 48.08902777777778)
228,POINT (40.255416666666669 48.089305555555555)
224,POINT (40.255416666666669 48.089583333333337)
226,POINT (40.255416666666669 48.089861111111112)
226,POINT (40.255416666666669 48.090138888888895)
226,POINT (40.255416666666669 48.09041666666667)
223,POINT (40.255416666666669 48.090694444444445)
223,POINT (40.255416666666669 48.090972222222227)
220,POINT (40.255416666666669 48.09125)
